ID,freq,Rate,Power,speedup,powerup,freq_norm
1,3.3,0.19832,153.70182,1.1248879763,2.4623870822,2.75
2,2.9,0.19349,122.696708,1.0974918038,1.9656682582,2.4166666667
3,2.8,0.176302,113.541463,1,1.8189962343,2.3333333333
4,2.7,0.203503,111.661399,1.1542863949,1.7888765824,2.25
5,2.5,0.222546,104.345769,1.2622999172,1.6716761953,2.0833333333
6,2.4,0.249763,102.927212,1.4166770655,1.6489501376,2
7,2.3,0.283112,102.146466,1.6058354415,1.6364421603,1.9166666667
8,2.2,0.286217,96.79985,1.6234472666,1.5507864526,1.8333333333
9,2,0.301041,94.219727,1.7075302606,1.5094514733,1.6666666667
10,1.9,0.299012,89.688905,1.6960215993,1.4368652309,1.5833333333
11,1.8,0.311073,85.479142,1.7644326213,1.369422529,1.5
12,1.7,0.220292,80.599262,1.2495150367,1.2912441868,1.4166666667
13,1.6,0.292143,77.491337,1.6570600447,1.2414535313,1.3333333333
14,1.4,0.194523,69.243841,1.1033510681,1.109324142,1.1666666667
15,1.3,0.243505,65.950783,1.3811811551,1.0565675548,1.0833333333
16,1.2,0.216533,62.419845,1.2281936677,1,1
